soundname	value	cog	sd	skewness	kurtosis
adyghe_d45	qjəsədzjə_1	5875.27106574391	4461.7630102626645	-0.28159703794192686	-1.3305121599332714
adyghe_d45	qjəsədzjə_2	4592.4114550095765	4458.58367968588	0.38822396792186326	-0.9234099033397558
adyghe_d45	qjəsədzjə_3	3585.2371900616945	4377.715020270322	0.8593973942671415	-0.43277104768455077
adyghe_d45	qjəsədzjə_cf	4699.110795713147	4586.303519949378	0.19537075230276002	-1.4630189451321307
adyghe_d45	nəsɐ_1	3509.893406735014	4502.513655614597	0.7290645872130415	-1.0522606117268234
adyghe_d45	nəsɐ_2	4085.761156467466	4714.204054704776	0.5250261243863108	-1.2938283794162917
adyghe_d45	nəsɐ_3	2346.8008840782895	4005.9519210131075	1.3392911763602453	0.234367242265606
adyghe_d45	nəsɐ_cf	1554.4529227056578	3334.7598823153453	1.9380482377343282	2.263480469623076
adyghe_d45	sabəjə_1	9694.184532929785	3421.038684800213	-0.6107561769808002	1.133942835881414
adyghe_d45	sabəjə_2	9706.884685049512	3742.2118705533503	-0.8124552499968972	0.7886114049330826
adyghe_d45	sabəjə_3	9711.502571479283	3221.494330609708	-1.1181650426102168	2.5025658972909968
adyghe_d45	sabəjə_cf	2545.877028188515	4217.954619087461	1.3795172499427133	0.3785208918529017
adyghe_d45	sabəj_1	7984.1540377745905	2886.5990894159404	-0.31046736074928716	1.920552907696151
adyghe_d45	sabəj_2	9114.667213655033	2460.11676868827	-0.5305431355277267	3.742455921354278
adyghe_d45	sabəj_3	8511.19399873045	3522.089033414189	-1.1175155734231637	1.198265118909358
adyghe_d45	sabəj_cf	6011.16288635982	4668.582080078642	-0.17196494194424636	-1.3984783150224123
adyghe_d45	sapɐ_1	9785.911122605869	2287.661302383153	-0.9508703229034109	4.222315187607121
adyghe_d45	sapɐ_2	8833.181046352649	2272.139896726215	-0.5638002418010856	4.374605707459686
adyghe_d45	sapɐ_3	7929.186396804989	3828.4260632546466	-0.771963219855559	0.30061517568315743
adyghe_d45	sapɐ_4	8395.198961355603	2906.602750109071	-1.0147166403304473	2.7501327314179482
adyghe_d45	səʒɐ_1	9203.200185784306	2353.5771289940963	-0.36072568924815895	2.4467821099196163
adyghe_d45	səʒɐ_2	8333.313186773894	2371.3152438796046	-0.7339734362376925	3.76096242549489
adyghe_d45	səʒɐ_3	8347.091732738847	2320.6569884948144	0.01630916056731527	3.8729104955281555
adyghe_d45	səʒɐ_cf	4657.650760599889	4385.889685972177	0.20407558187051	-1.367418624560331
adyghe_d45	sɐχɐ_1	8978.820293471681	2259.2491886105713	-1.170545182270859	5.293961506134098
adyghe_d45	sɐχɐ_2	8176.521189649628	2778.427413809608	-1.4382701941110616	3.3310652682711765
adyghe_d45	sɐχɐ_3	8517.982677861577	2786.6117729046223	-0.8818074082618265	2.505455165757339
adyghe_d45	sɐχɐ_cf	7558.085740343677	3994.0369698892787	-0.8800532002315681	-0.19429775542499517
adyghe_d45	sɐŝ'ə_1	9638.846590004649	3379.257009427506	-1.2846782016051497	1.9280723678976308
adyghe_d45	sɐŝ'ə_2	11350.305449214844	2330.1892470652188	-2.3554156365847643	8.905812845118996
adyghe_d45	sɐŝ'ə_3	10243.345530085835	3280.212221874286	-1.41678622888971	2.4016874693648242
adyghe_d45	sɐŝ'ə_cf	10799.365527830876	3005.4735860367073	-1.9635381596771664	4.760297796421689
adyghe_d45	sɐŝ'ə_1	10331.380722195752	2839.0738997094986	-1.9910174244260257	5.453004929870465
adyghe_d45	sɐŝ'ə_2	10152.24221502195	2279.3497755729845	-1.8176696597016675	6.2578487570327255
adyghe_d45	sɐŝ'ə_3	10134.118335715202	2914.675192706975	-2.001685183192816	4.745354554537498
adyghe_d45	sɐŝ'ə_cf	9752.655776897027	3326.80713362433	-1.7797957922017245	3.1368103744808664
adyghe_d45	ħisap_1	1835.0648028751639	3703.9561703404197	1.9088000734387303	2.1963030689930223
adyghe_d45	ħisap_2	1843.9967077785152	3611.62552107636	1.8515957024476657	1.9800549844819715
adyghe_d45	ħisap_3	2652.951656170741	4246.919677758576	1.2374705947162112	-0.08781612924277793
adyghe_d45	ħisap_cf	3099.1954204179774	4518.5746471795155	1.0596650300339252	-0.4958762671834478
adyghe_d46	qjəsədzjə_1	3828.3114865218636	4668.015922569496	0.602383703213208	-1.3264424408548496
adyghe_d46	qjəsədzjə_2	3554.5805730245984	4687.6722910437875	0.7515506846838325	-1.1362447003440066
adyghe_d46	qjəsədzjə_3	6129.6122455057575	4714.612551091337	-0.24354556936326446	-1.4946855800735166
adyghe_d46	qjəsədzjə_cf	3847.757583202343	4759.714497846838	0.6103570874351203	-1.3281089172425444
adyghe_d46	nəsɐ_1	6356.349735392904	4850.128494951546	-0.37760940164074697	-1.6222466805593374
adyghe_d46	nəsɐ_2	4829.542704198731	4445.369801022454	0.09560178743975879	-1.5616486506833047
adyghe_d46	nəsɐ_3	3018.2329227226387	4268.862472309408	0.9466628642282662	-0.7275318535069304
adyghe_d46	nəsɐ_cf	2903.5626831741088	3970.291017927666	0.8988115746539749	-0.7351088516978437
adyghe_d46	sabəjə_1	742.0873203432102	2640.212883641862	3.64636621139795	11.76814984177237
adyghe_d46	sabəjə_2	1761.6662733541523	3865.060637203279	1.918261427960482	1.900795845145355
adyghe_d46	sabəjə_3	8433.482356983282	5189.782890385871	-0.7434161151695392	-1.0155528598593122
adyghe_d46	sabəjə_cf	9612.390048984125	2965.288691147368	-1.5360615378562557	3.119127264565199
adyghe_d46	sabəj_1	8620.612059011972	2251.5235236339417	-0.47962862734143524	2.767413643743775
adyghe_d46	sabəj_2	8627.569665700676	2778.50403832676	-0.8386039736507144	1.8488930917415844
adyghe_d46	sabəj_3	9026.712674840506	3020.452003535361	-1.0469474495692694	1.796173983455179
adyghe_d46	sabəj_cf	8659.77167664419	2205.6680434961795	-0.4630090932882477	2.426251459402482
adyghe_d46	sapɐ_1	9308.250624068642	2909.718071110053	-1.4475541796008848	3.0972618052025807
adyghe_d46	sapɐ_2	8630.110872215999	3172.343162940699	-0.8182481117703367	1.5273976532939297
adyghe_d46	sapɐ_3	8455.00950963989	3447.1863318772553	-0.4117239443712187	0.6159699056332206
adyghe_d46	sapɐ_cf	7103.189833574933	2947.1973809206343	-0.23335555885569784	2.5261779963543596
adyghe_d46	səʒɐ_1	7493.062287340439	2954.2421054547585	-1.3058540295009524	1.5749137343046717
adyghe_d46	səʒɐ_2	7561.866678551654	3192.0431988605433	-1.2926111739826	1.214628437869461
adyghe_d46	səʒɐ_3	8500.421857806628	2991.7605114877574	-1.1618726589964015	2.311989904579212
adyghe_d46	səʒɐ_cf	7582.931822438754	3102.189300027251	-0.8638177902359224	1.0374451685714252
adyghe_d46	sɐχɐ_1	10018.895746007682	3216.421845345846	-1.1561597558142849	2.1583880172640484
adyghe_d46	sɐχɐ_2	10118.850788934149	2997.837920441518	-1.5236742178499558	3.1056382966632174
adyghe_d46	sɐχɐ_3	9827.898264212501	2843.3820627447903	-1.9366705180089436	4.3278863765325974
adyghe_d46	sɐχɐ_cf	8840.70702339324	3128.516503084985	-1.366497032549865	2.247646526840991
adyghe_d46	sɐŝ'ə_1	8292.890445697009	3027.8310126542033	-0.4797659363047385	1.1659010185534608
adyghe_d46	sɐŝ'ə_2	7453.35772858354	3379.8343340070523	-0.3351276490174852	0.4566502807873203
adyghe_d46	sɐŝ'ə_3	8031.38114891494	3591.4887867335474	-0.5056239377653368	0.21552356110820403
adyghe_d46	sɐŝ'ə_cf	8051.603241460209	3560.7127068391815	-0.4340176564109368	0.4014920986863233
adyghe_d46	sɐɕɐ_1	7971.486951776099	3416.7590274067957	-0.06388541399912631	0.6855673109388372
adyghe_d46	sɐɕɐ_2	7913.974076134418	3058.2768902856365	-0.3504043529643939	1.1582313219822664
adyghe_d46	sɐɕɐ_3	7332.631993355841	4593.081586343326	-0.25393198422669544	-0.8186043318778315
adyghe_d46	sɐɕɐ_cf	7097.774863191264	4052.8686504756206	-0.5151784409181236	-0.47486189699979686
adyghe_d46	ħisap_1	4066.343289987816	4839.204828173599	0.5630535393593159	-1.3473585002158477
adyghe_d46	ħisap_2	1994.7602358367353	3660.2642838598804	1.5700396598155737	0.8899847113239119
adyghe_d46	ħisap_3	2600.230013085422	4267.082407050221	1.2182974480651712	-0.2816775477983584
adyghe_d46	ħisap_cf	4797.492902598528	4837.832537200988	0.21954681978388996	-1.627626073769206
adyghe_d48	qjəsədzjə_1	2334.8209046038983	4264.722016875563	1.4931505492024313	0.5596222385552698
adyghe_d48	qjəsədzjə_2	6442.492180812594	5055.839740864996	-0.3160907533270523	-1.6073403355518907
adyghe_d48	qjəsədzjə_3	7080.348041746081	5116.910739778858	-0.48842918971764343	-1.4383869971492704
adyghe_d48	qjəsədzjə_cf	8094.932763584521	5104.8535870804635	-0.8109880966377129	-1.1443286935653778
adyghe_d48	nəsɐ_1	3851.0592147072307	4772.396239748438	0.7385342887892951	-0.7851184408306464
adyghe_d48	nəsɐ_2	2515.8557649428203	4135.530229408404	1.3044009660600768	0.3195510513524078
adyghe_d48	nəsɐ_3	4774.1323177977365	4623.5331374721645	0.12768182329832967	-1.5656314130722286
adyghe_d48	nəsɐ_cf	2541.9403180742615	4246.578055688369	1.3151591207888276	0.13593483965350606
adyghe_d48	sabəjə_1	9640.718427192014	4014.502766276537	-1.4905808625247476	1.248715564420265
adyghe_d48	sabəjə_2	10891.666712664184	2583.1299021867762	-2.344687165515431	7.842413722146446
adyghe_d48	sabəjə_3	9303.76839251251	3625.50779033461	-1.750007144772528	2.0162544838047713
adyghe_d48	sabəjə_cf	3386.2352760038984	4910.641991730049	0.9247541596330249	-1.0348074392805313
adyghe_d48	sabəj_1	9017.639714677995	3548.595528591178	-0.7745008767187531	0.5876860336582026
adyghe_d48	sabəj_2	9071.288490236093	3010.052660724011	-0.7106142684104871	1.5552285447083456
adyghe_d48	sabəj_3	7975.647500467184	2448.1929923929965	-0.06023276066272428	1.3820210670535351
adyghe_d48	sabəj_cf	5260.488326308788	4751.6858345709215	0.17322066613891296	-1.296002321624091
adyghe_d48	sapɐ_1	8682.343400812017	3029.493361009466	-0.2830034824765386	2.2740016587431935
adyghe_d48	sapɐ_2	8935.58666699999	2053.1760052345817	-0.42176870349480977	7.575414184742629
adyghe_d48	sapɐ_3	8368.085373054566	2455.181265479587	0.9772491333589998	5.133505455787713
adyghe_d48	sapɐ_cf	7736.171288242908	3760.6040749630693	-0.7247515005877968	0.35552040273025165
adyghe_d48	səʒɐ_1	11106.256028091206	2261.0134421747675	-2.9911880888664917	12.417460007576052
adyghe_d48	səʒɐ_2	11115.297103716686	2006.3637789159898	-0.9344967241860638	3.0503286943332437
adyghe_d48	səʒɐ_3	10327.311986056526	2336.6828783763613	-0.23123186598933546	0.9958372959859036
adyghe_d48	səʒɐ_cf	9433.638363125912	1976.2683776551983	-0.6777327433789078	3.3654054844209123
adyghe_d48	sɐχɐ_1	8683.606082202214	1378.6774182490835	-0.4976279385753342	9.285729416796714
adyghe_d48	sɐχɐ_2	7904.176417773329	2998.874570472399	-0.6138836585485443	1.1168972047575165
adyghe_d48	sɐχɐ_3	4420.824388369247	5374.460587825423	0.5500351950597545	-1.5182512770881662
adyghe_d48	sɐχɐ_cf	11242.655162218878	2787.124813444347	-1.7470069820128085	5.286523111532068
adyghe_d48	sɐŝ'ə_1	10593.74408987551	2712.0081551324183	-1.7607378970026253	4.847143595958549
adyghe_d48	sɐŝ'ə_2	10723.974187101938	2728.9040850117462	-2.415063334573911	6.539967706361997
adyghe_d48	sɐŝ'ə_3	10146.177591719814	3472.4310099561476	-0.5166289630977444	1.7421673513568132
adyghe_d48	sɐŝ'ə_cf	8908.492441747443	4292.714616961305	-0.48475483034908295	-0.29992954496814583
adyghe_d48	sɐɕɐ_1	10886.921087213579	3584.8621219577276	-1.3033515288644395	1.9588574539828532
adyghe_d48	sɐɕɐ_2	6078.794304435979	5060.549366106019	0.1965906900815933	-1.06338520528538
adyghe_d48	sɐɕɐ_3	9527.773357584249	4160.455118623535	-1.4432452829168851	0.8159783850838251
adyghe_d48	sɐɕɐ_cf	10188.995603722458	3968.6876350021635	-1.7217868952054773	1.8432619200674116
adyghe_d48	ħisap_1	9384.396737079956	4227.018770011129	-1.3593062548798363	0.6177462645055041
adyghe_d48	ħisap_2	6512.832606608211	5295.1313313412775	-0.22876611598565344	-1.6992450949620947
adyghe_d49	nəsɐ_1	4862.4539927586675	4309.425168717823	0.11683943479573851	-1.3736467589531312
adyghe_d49	nəsɐ_2	5742.197449076909	4418.083444695577	-0.16302845384837528	-1.408811750648701
adyghe_d49	nəsɐ_3	5030.284171282433	4591.4207275365125	0.04361205454057297	-1.6784321808805513
adyghe_d49	nəsɐ_cf	7268.731250711604	3524.6126777016616	-0.8692442047028165	0.42670323999761495
adyghe_d49	sanɐ_1	8134.330078910363	3228.450078215555	-0.8215453107444755	1.3722018020641613
adyghe_d49	sanɐ_2	7462.613859241906	3616.2196322046734	-0.46764450161615384	0.4235175494163128
adyghe_d49	sanɐ_3	6952.691529770833	3857.8601912071235	-0.5473074551666666	-0.2637709805726436
adyghe_d49	sanɐ_cf	7335.411543567938	4144.223584461129	-0.6022160946440339	-0.5260670981917612
adyghe_d49	sɐhat_1	6869.378873022226	3896.6468946488567	-0.7821964917316919	-0.7008977224920447
adyghe_d49	sɐhat_2	6163.103951118595	4105.1406201990985	-0.3514521463480922	-1.096860195171854
adyghe_d49	sɐhat_3	7928.817792317589	3286.7618302944757	-1.328903124240673	1.1653159920280736
adyghe_d49	sɐhat_cf	6735.277099868234	4374.514299261817	-0.4161083825091846	-1.003813352122002
adyghe_d49	səʒɐ_1	8146.198655680608	3616.843949178263	-0.929239656919887	0.4423245755050691
adyghe_d49	səʒɐ_2	5537.685134106726	4231.422279227277	0.005876448648267358	-1.1769190562236975
adyghe_d49	səʒɐ_3	6815.1745261009755	3971.665247455741	-0.2576409016899527	-0.7071611503592914
adyghe_d49	səʒɐ_cf	5215.0165961964085	4558.64366005737	0.0980279142641281	-1.4403771430547643
adyghe_d49	wɐsə_1	6491.808746880371	4304.823284748833	-0.40084117895273924	-0.9678820453900214
adyghe_d49	wɐsə_2	6775.139752049407	4401.591353022897	-0.45362436837355397	-1.0054863443034114
adyghe_d49	wɐsə_3	6490.572311363515	4498.011347343517	-0.3665107759994362	-1.2054020034353743
adyghe_d49	wɐsə_cf	7818.383696995027	3849.510541533892	-0.7223621577434417	0.14741770244643382
adyghe_d50	nəsɐ_1	8486.269738485285	4116.232465537304	-0.9323495472080645	0.04544175193300859
adyghe_d50	nəsɐ_2	9270.810211498392	3292.1840950767587	-1.092532933742777	1.6727047342110604
adyghe_d50	nəsɐ_3	10420.759349562322	2280.277062586321	-1.2696123549709957	4.29254387307229
adyghe_d50	nəsɐ_cf	10293.367825575308	2930.0104248130406	-1.110296725831728	1.776840683633437
adyghe_d50	wɐsə_1	7839.323365314229	3671.32521370848	-0.6173942982275997	0.29908477675944667
adyghe_d50	wɐsə_2	7954.536375648577	3576.5030800414565	-0.5915494491785842	0.39128834618004094
adyghe_d50	wɐsə_3	8176.700061362436	3649.4098092501645	-1.1181728753470261	0.5696569591564957
adyghe_d50	wɐsə_cf	8638.919310848536	2833.9229568119536	-0.8797971606514006	1.826170139475126
adyghe_d50	sanɐ_1	9768.039124009942	2333.636298244801	-0.15756711735619816	2.8329519450583893
adyghe_d50	sanɐ_2	9022.642024354629	3047.612077836637	-0.8897949248099727	2.1361502904908365
adyghe_d50	sanɐ_3	9696.626773607388	2467.186839455442	-1.1573800120724553	4.239020462723057
adyghe_d50	sanɐ_cf	9492.346393398138	2612.2970020570433	-1.0721435721872867	3.1080025767337363
adyghe_d50	səʒɐ_1	10479.897174023912	2804.121092798438	-0.6345753463996278	0.2194059692321253
adyghe_d50	səʒɐ_2	9738.33962842408	2650.543502709045	-0.42161361349219206	0.5319080061871744
adyghe_d50	səʒɐ_3	9740.17316186878	2673.8332420833685	-0.40449215052074355	0.5107291478539708
adyghe_d50	səʒɐ_cf	9678.970606813422	2250.418194199381	-0.2888776592034988	1.0155211068545729
adyghe_d50	səħat_1	10037.677510356545	2642.050868918143	-0.6426632569086089	3.0301172733702213
adyghe_d50	səħat_2	9485.263260559552	2758.4427467280634	-0.8975770758871765	2.5795531995871457
adyghe_d50	səħat_3	9386.678423598853	2702.599977792017	-1.0666145068979014	2.883544533025381
adyghe_d50	səħat_cf	9128.874771959778	3758.029069740277	-1.1086044901171734	0.9488240530677969
chukchi_d17	nəsasaqen_1	5003.255264834301	2503.5513850422512	0.3309078316409939	0.8095900870759878
chukchi_d17	nəsasaqen2_1	3938.64572282493	3644.640704272741	0.3977544307142169	-1.2404159110163808
chukchi_d17	nəsasaqen_2	4043.7249636860356	3574.833392235399	0.2885979615327313	-1.2882385606499989
chukchi_d17	nəsasaqen2_2	3818.6786850669605	3103.665327804208	0.23599371006779757	-1.0819713275283465
chukchi_d17_saikok	sajkok_1	4122.822004555878	2217.874217853727	0.7860252768323726	1.9662457393116668
chukchi_d17_saikok	sajkok_2	2171.030183982915	2157.4900464674356	1.511325837726787	2.899432653554605
chukchi_d19	nəsasaqen_1	4996.728062848059	2558.1416451997384	-0.587182085729053	0.2686482768919123
chukchi_d19	nəsasaqen2_1	4104.880668216859	2748.0754981781765	-0.23012205013430767	-1.009600501068642
chukchi_d19	nəsasaqen_2	5642.3786910660965	3213.655769121617	-0.4226459806586806	-0.41714285339300794
chukchi_d19	nəsasaqen2_2	2688.907648070705	2970.3130208805333	0.6733143916133909	-0.9370618388241856
chukchi_d19	nəsasaqen_3	4661.033704681433	3532.154592642241	-0.1528263392302564	-1.2640286286510432
chukchi_d19	nəsasaqen2_3	5360.448125996683	2436.274865462027	-0.8005649172781736	0.5808992094337646
chukchi_d19	nəsasaqen_4	5229.71836498847	2971.248839827451	-0.6224121884620669	-0.5232691578118023
chukchi_d19	nəsasaqen2_4	3373.6651356269554	3104.0913524914304	0.1708078775784105	-1.4531726421211302
chukchi_d19	nəsasaqen_5	5074.3558548130695	2438.067752453193	-0.977515826472982	0.4480403739502403
chukchi_d19	nəsasaqen2_5	4836.077425763096	2303.7394076903206	-0.8404944245302319	0.42769820699247374
chukchi_d19	nəsasaqen_6	5363.776882777348	3029.4074418735177	-0.6962663811928631	-0.5003663544816481
chukchi_d19	nəsasaqen2_6	4287.475751950291	2743.4733329120354	-0.4460846865787874	-0.8284479335445218
chukchi_d19_saikok	sajkok_1	7439.904773656311	2778.3393502645044	-0.6112252658827904	-0.08394471850309992
chukchi_d19_saikok	sajkok_2	7011.867730573917	2111.436868069214	-0.2876600923207572	1.1613316269163345
chukchi_d19_saikok	sajkok_3	5159.85293022742	2304.4438960889925	-0.6840958786325017	0.87339142702564
chukchi_d19_saikok	sajkok_4	5748.9481037370815	1592.5574482397856	-0.18121324887529794	4.5308888028884695
chukchi_d19_trasajoskewʔəm	trasajoskewʔəm	616.3870994327859	2186.8573687782223	4.364673016460738	18.65548940884469
chukchi_d20	nəsasaqen_1	7329.713462454915	3453.1093344593905	-1.241490935036026	0.3384725567651672
chukchi_d20	nəsasaqen2_1	5163.04885410381	4055.2570494841775	-0.16464163935599366	-1.7921227007855707
chukchi_d20	nəsasaqen_2	7746.907243166132	2822.827675210604	-2.036865367580521	2.9279254281090354
chukchi_d20	nəsasaqen2_2	6876.501944087026	3350.645519917104	-1.1330067716773171	-0.15829026692636905
chukchi_d20	nəsasaqen_3	8829.356064298961	1789.268038616124	-3.6504699801774483	15.062858127996044
chukchi_d20	nəsasaqen2_3	8438.12225193818	2265.8621644407663	-2.848097468893313	7.435615846477086
chukchi_d20	nəsasaqen_4	6056.190933668322	4327.05749677466	-0.4778388682280353	-1.5026621094127122
chukchi_d20	nəsasaqen2_4	7502.173543752602	2768.974474326734	-1.8285421002972575	2.25415229209099
chukchi_d20_saikok	sajkok_1	7876.313208096836	1935.1661891556023	-2.6530378202046623	8.307476443802454
chukchi_d20_saikok	sajkok_2	8666.504164120664	1463.1662074540852	-2.54579011671864	12.13678381114205
chukchi_d20_saikok	sajkok_3	7842.888851610557	1312.9025673734745	-2.1515938019860434	11.512868122950437
chukchi_d20_saikok	sajkok_4	8131.785003881064	1681.032318354806	-2.7074531812941074	10.211078726462615
chukchi_d21	nəsasaqen_1	8306.934407526274	1939.7935961297067	-1.915788174634486	6.5397422883838505
chukchi_d21	nəsasaqen2_1	5199.181218790958	4093.462130651577	-0.019032123281168285	-1.6280066620941736
chukchi_d21	nəsasaqen_2	8721.737027504594	1949.6151767026413	-2.8816928097284884	10.207235338405095
chukchi_d21	nəsasaqen2_2	8008.311755266205	2711.084883826913	-1.4549099815121147	2.1619328485326106
chukchi_d21	nəsasaqen_3	8354.51694083662	1446.0831694591575	-3.1609039287837892	15.32980243679799
chukchi_d21	nəsasaqen2_3	7195.275892013358	2877.235677971428	-1.4076967386170525	1.077423403268103
chukchi_d21_saikok	sajkok_1	5370.005077231827	3169.2386206504357	-0.462131926848003	-0.6943618573706387
chukchi_d21_saikok	sajkok_2	7392.089576411408	2750.6430147178157	-1.2552997086032198	1.5209523998645826
chukchi_d21_saikok	sajkok_3	6729.1953091596815	2170.1412780059045	-0.5045263474990302	3.496135172732381
chukchi_d21_saikok	sajkok_4	8714.50218581965	2711.8769419402684	-1.1313015109697824	1.029121069467128
chukchi_d22	nəsasaqen_1	7767.51672190979	4478.74219773722	-0.6320355741014081	-0.48787327719827234
chukchi_d22	nəsasaqen2_1	7634.837681880179	4739.844363713729	-0.3686678931311624	-0.8032722601004867
chukchi_d22	nəsasaqen_2	6297.955560134671	3949.680827229714	-0.6604375618426406	-0.8450048978488698
chukchi_d22	nəsasaqen2_2	10514.891832469466	3691.937215235037	-1.22085397942497	1.7482380021950776
chukchi_d22	nəsasaqen_3	10082.797704032408	4322.792946420433	-1.161833522977299	0.7794647238141681
chukchi_d22	nəsasaqen2_3	9138.148213007227	3624.9718925608086	-0.9727502598644966	0.7163481284976458
chukchi_d22	nəsasaqen_4	4879.433106380242	4980.418574968359	0.35832159026348936	-1.2390666218096777
chukchi_d22	nəsasaqen2_4	9197.091211527817	4095.140185019165	-0.9124739576949998	0.2905285573886398
kabardian_d1_сэ_я	sɐ_1	8578.583803773618	2938.530860196229	-0.8962971467331183	1.694426271981479
kabardian_d1_сэ_я	sɐ_2	7059.5838556841	3891.8432967144076	-0.7061623117592837	-0.3926813533042681
kabardian_d1_сэ_я	sɐ_3	8070.559616454867	2952.8490946416932	-0.8533842903364165	1.6356692645244886
kabardian_d1_сэ_я	sɐ_cf	7824.318011176329	3018.2809056600427	-0.8317337072331298	1.5080787972315415
kabardian_d2_сэ_я	sɐ_1	9634.52644454448	1789.5925251093033	-0.36796542588847025	0.7249679209691666
kabardian_d2_сэ_я	sɐ_2	9058.742339467115	1591.5709359799419	0.31745535181725004	3.916060369509596
kabardian_d2_сэ_я	sɐ_3	9828.90439996176	1989.9922161454738	-0.81751013546828	1.5016930893039255
kabardian_d2_сэ_я	sɐ_cf	10036.781018191889	1800.486237130883	-0.49115256750818664	3.1502185429200464
kabardian_d3_сэ_я	sɐ_1	8693.82483387941	1771.8988547739573	-0.09602440387918897	3.4076338026978314
kabardian_d3_сэ_я	sɐ_2	9027.111391689125	2022.1683820498204	-0.1313525703145132	2.778724671615647
kabardian_d3_сэ_я	sɐ_3	8575.092531255797	2292.9490825648295	-0.4905212135482686	3.3553381411744265
kabardian_d3_сэ_я	sɐ_cf	9003.288137989166	2401.7794451274963	-0.8474377017961051	2.872094252049041
kabardian_d4_сэ_я	sɐ_1	9212.769434127316	2179.0470699157468	-0.5288790466159285	0.9699499788341894
kabardian_d4_сэ_я	sɐ_2	9590.189518540306	2212.9446899084455	-1.1162726692239016	2.026145999958068
kabardian_d4_сэ_я	sɐ_3	9112.171311036303	2153.6745367019907	-0.5505302953546581	0.6154764204332221
